title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src
The Nine Kittens of Christmas,TV-G,84,6.6,,"Comedy, Drama, Family",2021,Zachary and Marilee are thrown back together at Christmas when they're tasked with finding homes for a litter of adorable kittens.,David Winning,"Brandon Routh, Kimberley Sustad, Gregory Harrison, Stephanie Bennett, ","1,851",,"https://m.media-amazon.com/images/M/MV5BNTg0MTdlOTItMTJjNi00NTYyLWI3MTEtYWM1OTViYWZkOTEwXkEyXkFqcGdeQXVyMDA0Mjk4MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Christmas in Vermont,TV-PG,86,5.5,,"Comedy, Romance",2016,A company executive is tasked with liquidizing a small town outerwear manufacturer over the Christmas season.,Fred Olen Ray,"Abigail Hawk, Chevy Chase, David O'Donnell, Howard Hesseman, ","1,235",,"https://m.media-amazon.com/images/M/MV5BZDQwNDE2NTQtY2JjOC00NTM5LWE0ZDEtYTg1YWYxYjY1NDc4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UX140_CR0,0,140,209_AL_.jpg"
Jolly Good Christmas,TV-G,90,6.6,,"Comedy, Romance",2022,"David (Kemp) is an American architect who recently moved to London for a prime opportunity in a prestigious firm. With just three days before Christmas, he must still purchase a gift for ...                See full summary »",Jonathan Wright,"Will Kemp, Reshma Shetty, Callum Blue, Su McLaughlin, ","1,409",,"https://m.media-amazon.com/images/M/MV5BYWVlNTNiZjUtZGZhOC00ZGIyLWFjYTUtYmM2MzZlOWY2ZTE4XkEyXkFqcGdeQXVyMzI5MDUwMTI@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Christmas Shoes,TV-PG,100,6.6,,"Drama, Family",2002,"A young boy tries to get a pair of Christmas shoes for his dying mother, while a lawyer tries to deal with the break-up of his marriage.",Andy Wolk,"Rob Lowe, Kimberly Williams-Paisley, Max Morrow, Maria del Mar, ","2,851",,"https://m.media-amazon.com/images/M/MV5BMTk5MzkxNjEzMF5BMl5BanBnXkFtZTcwMjc5ODczMQ@@._V1_UY209_CR3,0,140,209_AL_.jpg"
A Maple Valley Christmas,TV-G,85,6.3,,"Comedy, Drama, Romance",2022,"Erica is a rancher who has spent her whole life working the family farm with her mother and sister. When Aaron arrives and disrupts her plans, she starts to question what it is she actually wants.",Paul Ziller,"Peyton List, Andrew W. Walker, Frances Flanagan, Ella Cannon, ","1,175",,"https://m.media-amazon.com/images/M/MV5BMDQxMGMwOTgtMzIxOS00MzJmLWE2YzQtNmYzOGE3OWM1ZDFhXkEyXkFqcGdeQXVyMTU4MzAyNTkw._V1_UY209_CR4,0,140,209_AL_.jpg"
Cross Country Christmas,TV-G,83,6.6,,"Comedy, Romance",2020,"After their flight is diverted, two old school friends work together to try and get back home in time for Christmas.",Catherine Cyran,"Rachael Leigh Cook, Greyston Holt, Jon Cor, Robyn Bradley, ","1,937",,"https://m.media-amazon.com/images/M/MV5BNTFjYjhlNDEtMDBkOC00NjU2LTg5YjctZGY4YmEzZTYwODMzXkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Christmas Cottage,TV-G,90,6.3,,"Comedy, Drama, Romance",2017,"While helping to organize her best friend's Christmas wedding, a successful designer reconnects with an old flame.",Paul A. Kaufman,"Merritt Patterson, Steve Lund, Brittney Wilson, Victor Zinck Jr., ","2,340",,"https://m.media-amazon.com/images/M/MV5BN2I0MGU2ZDgtN2MwMy00ODVjLTg0YjktODJjMDUxMzdlNTRkXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Christmas Love Story,TV-G,84,6.9,,"Drama, Music, Romance",2019,"A youth choir director (Chenoweth) needs to write a big song for the Christmas Eve show but ""finds herself distracted"" when a boy with a golden voice (Kevin Quinn) joins her choir, which will come as news to his widowed father (Wolf).",Eric Close,"Kristin Chenoweth, Scott Wolf, Kevin Quinn, Keith D. Robinson, ","1,674",,"https://m.media-amazon.com/images/M/MV5BMDQ4MmJlOWQtNTJlOC00M2ZjLTk1N2YtMGM3NTY5ZDg1NDViXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Christmas Coincidence,TV-G,87,6.6,,"Drama, Romance",2018,A woman who accepts her boyfriend's marriage proposal is invited to her aunt's home for Christmas and develops romantic feelings for an inn owner.,Michael Robison,"Kimberley Sustad, Paul Campbell, Kathie Lee Gifford, Giles Panton, ","1,955",,"https://m.media-amazon.com/images/M/MV5BOTA3NTRjOGEtNGE2Yy00ZmRjLWJkNjctNzA2MGI3M2M1OWVmXkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg"
Snow Bride,TV-G,84,6.7,,"Comedy, Family, Romance",2013,"Greta Kaine (Katrina Law) is always in search of juicy gossip. As a gossip-tabloid reporter in Los Angeles, it's her job to expose the rich and famous. So when word gets out that the late ...                See full summary »",Bert Kish,"Katrina Law, Jordan Belfi, Patricia Richardson, Susie Abromeit, ","3,693",,"https://m.media-amazon.com/images/M/MV5BMjc4NmM1NzUtOTIwNy00MjQyLTgwY2MtZTQxNDA5M2U4ZTZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg"
Homegrown Christmas,TV-G,88,6,,Romance,2018,"After stepping down as CEO of her dream job, Maddie (Lori Loughlin) heads home for the holidays to gain perspective. She runs into her high-school sweetheart Carter (Victor Webster), and ...                See full summary »",Mel Damski,"Lori Loughlin, Victor Webster, Gwynyth Walsh, Isabella Giannulli, ","1,230",,"https://m.media-amazon.com/images/M/MV5BNWI4ODUxOTEtNzk1YS00ZTViLWJjZWMtNTI0ZDZmYTI4YjkzXkEyXkFqcGdeQXVyNjg1Mjc3MDg@._V1_UX140_CR0,0,140,209_AL_.jpg"
Blending Christmas,TV-PG,85,5.4,,"Comedy, Drama, Family",2021,The holiday season is in full swing when Emma learns that the resort where she used to spend Christmases with her family is being redeveloped.,Marla Sokoloff,"Haylie Duff, Aaron O'Connell, Christopher Knight, Mike Lookinland, ",507,,"https://m.media-amazon.com/images/M/MV5BNDYxZDgwN2EtOGZiYS00NDZlLThlOWEtMzI3ZWFjMmI2YTRhXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UY209_CR36,0,140,209_AL_.jpg"
The Best Man Holiday,R,123,6.6,59,"Comedy, Drama",2013,"When college friends reunite after 15 years over the Christmas holidays, they discover just how easy it is for long-forgotten rivalries and romances to be reignited.",Malcolm D. Lee,"Monica Calhoun, Morris Chestnut, Melissa De Sousa, Taye Diggs, ","16,694",$70.53M,"https://m.media-amazon.com/images/M/MV5BMjU0MTI1MDg5Ml5BMl5BanBnXkFtZTgwNzc2MTMzMDE@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Bride for Christmas,TV-G,84,6.5,,"Comedy, Romance",2012,A single man tries to win a bet by getting a woman recovering from a broken engagement to marry him by Christmas.,Gary Yates,"Arielle Kebbel, Andrew W. Walker, Kimberley Sustad, Sage Brocklebank, ","4,595",,"https://m.media-amazon.com/images/M/MV5BY2IxMGNhMDMtNWQ4OC00ODA0LThkZjctYjUwNzljM2M0YjY2XkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Taste of Christmas,TV-PG,91,5.5,,"Comedy, Romance",2020,"When Natalie learns her cousin Francesca must cancel the Christmas Eve opening of her new Italian restaurant, Natalie's heart goes out to all of the guests who were planning on attending.",Damián Romay,"Anni Krueger, Gilles Marini, Nia Vardalos, Emma Myers, ",625,,"https://m.media-amazon.com/images/M/MV5BMTljNDU1MzMtOGRkMC00NGEwLTliNzctODQ0NDRhYTJjMWVmXkEyXkFqcGdeQXVyNTYxMjExMzY@._V1_UY209_CR3,0,140,209_AL_.jpg"
A Veteran's Christmas,TV-G,84,7,,"Drama, Romance",2018,"After receiving an honorable discharge, a former Marine suffers a minor car accident which strands her in a small town for the Christmas season.",Mark Jean,"Sean Faris, Eloise Mumford, Mary Long, Amanda Lisman, ","2,305",,"https://m.media-amazon.com/images/M/MV5BYzk5MWNhODctMDY3MS00NzZhLWExMzgtMmZmMTM4ZGRhYjYyXkEyXkFqcGdeQXVyODMwMzc1MjU@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Holiday Spectacular,TV-G,85,7.2,,"Comedy, Drama, Romance",2022,"Set in 1958, follows Maggie who sneaks up to New York City to make her secret dream come true: dancing live on stage in the Christmas Spectacular at Radio City Music Hall, putting her high-society wedding plans on hold.",John Putch,"Ginna Claire Mason, Derek Klena, Sara Gallo, Tiffany Denise Hobbs, ","1,269",,"https://m.media-amazon.com/images/M/MV5BMWJlMzgxMjctMzJkYS00YzM3LWE1NjUtZGU1ODFlNWVjMjBiXkEyXkFqcGdeQXVyNjc3Mzg2ODY@._V1_UX140_CR0,0,140,209_AL_.jpg"
Family for Christmas,TV-G,85,6.2,,"Drama, Family, Fantasy",2015,"After a conversation with a man playing Santa Claus during her office Christmas party, a woman wakes up to find herself married to her college sweetheart with two kids, and questions her life choices.",Amanda Tapping,"Lacey Chabert, Tyron Leitso, Milli Wilkinson, Audrey Smallman, ","2,581",,"https://m.media-amazon.com/images/M/MV5BOWQ4Yjg2NTgtZTk4Ni00YjIzLWJhYzUtYWMzOWU3YmQ1NjkyXkEyXkFqcGdeQXVyODE4NjAwNjk@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Big Fat Family Christmas,TV-G,85,6.5,,"Comedy, Drama, Romance",2022,Liv gets an assignment to photograph the Chang family's annual holiday party for a front-page story--nobody at work knows that they are her family. She wants to confide in new co-worker Henry but doesn't want to jeopardize her big break.,Jennifer Liao,"Shannon Chan-Kent, Shannon Kook, Tia Carrere, Yee Jee Tso, ",798,,"https://m.media-amazon.com/images/M/MV5BNDkyNzllNjEtMDdiMi00ODA0LTliYmQtMjU0ZTViZDkwZjg0XkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Land,TV-G,84,5.8,,"Comedy, Drama, Family",2015,"After inheriting a Christmas tree farm, a woman's plans to sell it change when she falls in love with the townspeople and meets a charming lawyer named Tucker.",Sam Irvin,"Nikki Deloach, Luke Macfarlane, Jason-Shane Scott, Maureen McCormick, ","2,932",,"https://m.media-amazon.com/images/M/MV5BMTUwMzk3NTkzMF5BMl5BanBnXkFtZTgwNjc1Njk0NzE@._V1_UX140_CR0,0,140,209_AL_.jpg"
No Sleep 'Til Christmas,TV-14,90,6.5,,"Comedy, Romance",2018,A bartender and a businesswoman find they only have one thing in common; insomnia.,Phil Traill,"Odette Annable, Dave Annable, Charles Michael Davis, Alphonso McAuley, ","3,002",,"https://m.media-amazon.com/images/M/MV5BNjViODZmZDQtYTE1ZC00NmE0LTllZWEtYjBhMmQzZmUwNzNiXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY209_CR8,0,140,209_AL_.jpg"
Chateau Christmas,TV-G,84,6.4,,"Comedy, Drama, Music",2020,"World-famous pianist Margot returns to Chateau Neuhaus for Christmas. While there she reunites with her ex-boyfriend Jackson, who convinces her to headline their annual Christmas Concert.",Michael Robison,"Merritt Patterson, Luke Macfarlane, Jesse Hutch, Julia Benson, ","1,888",,"https://m.media-amazon.com/images/M/MV5BMzhjMmI5YWYtNDhjOC00ZmE0LTljNGYtOWU0YWU3YWNlMDFkXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Mistle-Tones,TV-PG,90,6.4,,"Comedy, Family, Music",2012,A talented singer forms a musical group and challenges her rivals to a competition on Christmas Eve.,Paul Hoen,"Tia Mowry, Jonathan Patrick Moore, Andy Gala, Megan Kathleen Duffy, ","2,493",,"https://m.media-amazon.com/images/M/MV5BMTQ2ODYyMzI0N15BMl5BanBnXkFtZTgwMzkzOTAxMzE@._V1_UY209_CR8,0,140,209_AL_.jpg"
A Fabled Holiday,TV-G,84,6.6,,"Comedy, Drama, Romance",2022,Talia and her childhood best friend Anderson reunite in a curiously familiar-looking town full of Christmas spirit that restores its visitors when they need it most.,Ruby J. Munro,"Brooke D'Orsay, Ryan Paevey, John Prowse, Carmel Amit, ","1,200",,"https://m.media-amazon.com/images/M/MV5BY2E3OGJkZDktOWUxMC00ODFiLTkwNGItYzQ3ZTI0YzYxZGQ4XkEyXkFqcGdeQXVyMjAwNzczNTU@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Sweetest Christmas,TV-G,90,6.3,,"Comedy, Drama, Romance",2017,"Kylie is expecting a proposal from her boyfriend/boss at a restaurant and gets a promotion instead. The restaurant owner is her old high school boyfriend, she hasn't seen in years. They help each other out. Love in the air?",Terry Ingram,"Lacey Chabert, Lea Coco, Jonathan Adams, Brenden Sunderland, ","2,640",,"https://m.media-amazon.com/images/M/MV5BZTgxM2MzMjEtMjc5OC00NTcwLTljNTMtNzI2ZThhY2FlNjE3XkEyXkFqcGdeQXVyNTU2MDQyOTk@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Cupid,PG-13,85,5.4,,"Comedy, Fantasy, Romance",2010,A supernatural comedy in which a ruthless PR executive is forced to reconsider her life choices when her number one client suffers an untimely death during the Christmas season.,Gil Junger,"Christina Milian, Kenny Alfonso, Cynthia Evans, Burgess Jenkins, ","4,059",,"https://m.media-amazon.com/images/M/MV5BZWFkMzM5YTctY2Y1YS00MzhlLTg4MjktYmJhYTkxNTk5OTNiL2ltYWdlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY209_CR8,0,140,209_AL_.jpg"
A Christmas Prince: The Royal Wedding,TV-PG,92,5.3,,"Comedy, Drama, Romance",2018,"A year after helping Richard get to the throne, Amber is about to become his wife. But is she really made to be queen?",John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, ","11,765",,"https://m.media-amazon.com/images/M/MV5BMWVhMTBiOWUtMmI0Ni00NDg1LWFkMmYtNTJkNTkxNWE5OWY5XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg"
Small Town Christmas,TV-G,85,6.7,,"Comedy, Drama, Romance",2018,A high-flying female novelist from New York takes a trip to the small town that inspired her latest best-seller.,Maclain Nelson,"Ashley Newbrough, Kristoffer Polaha, Preston Vanderslice, Bailey Skodje, ","1,932",,"https://m.media-amazon.com/images/M/MV5BMmU3YjYyZjctYmU2YS00MTllLWJhOGYtNjBhYjRlNGI2OWU1XkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR8,0,140,209_AL_.jpg"
Scrooge,PG,78,6.4,,"Drama, Family, Fantasy",1935,"Ebenezer Scrooge is a mean old miser who wants nothing to do with Christmas. The Ghosts of Christmas Past, Present and Yet to Come visit Scrooge on Christmas Eve, taking him on a journey into the very spirit and magic of Christmas itself.",Henry Edwards,"Seymour Hicks, Donald Calthrop, Robert Cochran, Mary Glynne, ","2,553",,"https://m.media-amazon.com/images/M/MV5BNmQ3MzAxZjgtYTM5YS00YWNkLWE3ZTMtMGI4YWJiMWFmMDY3XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_UY209_CR2,0,140,209_AL_.jpg"
A Christmas Wish,TV-PG,90,6.3,,"Comedy, Drama, Family",2019,"Maddie slips in a wish that her sister Faith will experience true love for the first time. The next day, Faith meets seemingly-perfect Andrew, but is he really the one for her?",Emily Moss Wilson,"Hilarie Burton, Tyler Hilton, Megan Park, Lee Norris, ","1,081",,"https://m.media-amazon.com/images/M/MV5BNmMwZDdjNDItZDk0Zi00YjNiLThlZDktMDlmNzNiN2YyNzE1XkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UY209_CR0,0,140,209_AL_.jpg"
A Shoe Addict's Christmas,TV-G,85,6.6,,"Fantasy, Romance",2018,Noelle's life stopped when her boyfriend broke up with her on Christmas Eve three years ago. A handsome fireman moves in above her. She gets locked in at work in a department store all alone save the ghost of Christmas past.,Michael Robison,"Candace Cameron Bure, Luke Macfarlane, Jean Smart, Tenika Davis, ","3,000",,"https://m.media-amazon.com/images/M/MV5BY2U0MzVlMDMtZWFjNy00ZDVlLTgwNDgtMzY3OTdmYWZiMzEyXkEyXkFqcGdeQXVyODA4MzkyNjM@._V1_UX140_CR0,0,140,209_AL_.jpg"
Falling for Christmas,TV-G,87,6.2,,"Drama, Romance, Sport",2016,"An injured figure skater is sent to the mountains to recover from an injury. Once there, she meets an ex-hockey player and his young daughter and begins to realize that something is missing from her life.",Christie Will Wolf,"Leah Renee, Niall Matter, Lisa Whelchel, Michael Teigen, ","1,672",,"https://m.media-amazon.com/images/M/MV5BNmJjODA0YjItMDBlMy00NzA5LTk4ODQtNzhkMzZmNDZkMThjXkEyXkFqcGdeQXVyMzE1MDA4Nw@@._V1_UY209_CR11,0,140,209_AL_.jpg"
The Flight Before Christmas,TV-PG,88,5.9,,"Comedy, Romance",2015,"Two strangers who both happen to be in marketing, share a room at a bed-and-breakfast when a snowstorm strands their flight in Montana on Christmas Eve.",Peter Sullivan,"Mayim Bialik, Ryan McPartlin, Reginald VelJohnson, Jo Marie Payton, ","2,035",,"https://m.media-amazon.com/images/M/MV5BM2YyNzJjMTEtODg2Mi00YzAxLWI2YzktY2M4MjVjMTM5ZDY5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas in Evergreen,TV-G,84,6.5,,"Drama, Family, Fantasy",2017,"Hoping to spur her longtime beau to action, a small-town veterinarian wishes upon a snow globe that this will be her most romantic Christmas ever.",Alex Zamm,"Ashley Williams, Teddy Sears, Holly Robinson Peete, Jaeda Lily Miller, ","3,024",,"https://m.media-amazon.com/images/M/MV5BOWI1MGMyZTQtMTFmZC00MmE4LTk2OGYtNzg2MTI0ZmExMTlkXkEyXkFqcGdeQXVyODA4MzkyNjM@._V1_UX140_CR0,0,140,209_AL_.jpg"
Time for Me to Come Home for Christmas,TV-G,84,6.6,,"Comedy, Drama, Music",2018,"When strangers Cara and Heath are stranded before Christmas, they embark on an unexpected journey that may give them the miracles they've been hoping for.",David Winning,"Josh Henderson, Megan Park, Lindsay Maxwell, Paul McGillion, ","1,785",,"https://m.media-amazon.com/images/M/MV5BNGI4YWQ5MjMtMjMxZS00ZTBiLWE5NGItZWNmYTlkNTcwNGRiXkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Season for Miracles,G,100,7.6,,"Drama, Romance",1999,A miracle occurs for a homeless family consisting of two children neglected by their incarcerated mother and their protective aunt who is trying to keep them out of the foster system with the help of an angel.,Michael Pressman,"Carla Gugino, Kathy Baker, David Conrad, Laura Dern, ","1,873",,"https://m.media-amazon.com/images/M/MV5BMmE3MmY4NmMtMzk0OS00YmQ5LWE5OTEtMmNjZGU0ZjVlNmVjXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY209_CR8,0,140,209_AL_.jpg"
The Nine Lives of Christmas,TV-G,86,7.2,,"Comedy, Drama, Family",2014,"After a stray cat adopts Zachary, he meets Marilee and realizes the single life is not as fulfilling as he thought it was.",Mark Jean,"Brandon Routh, Kimberley Sustad, Stephanie Bennett, Chelsea Hobbs, ","4,423",,"https://m.media-amazon.com/images/M/MV5BMmE0NDEzOGMtMjZhYS00YTY0LWEzMzQtNTA2MTVkZDNlZGU4XkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg"
Every Christmas Has a Story,TV-G,82,6.1,,"Comedy, Romance",2016,"While on air, a TV personality accidentally admits she hates Christmas. When she goes to a small town to film a special to repair her image, the Christmas spirit begins to change her life.",Ron Oliver,"Lori Loughlin, Colin Ferguson, Willie Aames, Catherine Lough Haggquist, ","1,939",,"https://m.media-amazon.com/images/M/MV5BMjZmOGRlZWEtYjIxOS00MWRmLTkwYWEtNjNmYmRjZWQ4ZWIzXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Christmas Contract,TV-PG,87,6.8,,"Drama, Family, Romance",2018,A recently-single woman dreads the thought of going back to her Louisiana hometown for Christmas when she finds out that her ex-boyfriend will be there with his new girlfriend.,Monika Mitchell,"Hilarie Burton, Robert Buckley, Danneel Ackles, Antwon Tanner, ","2,836",,"https://m.media-amazon.com/images/M/MV5BYzk2MmYzMjAtNTZhMi00MDgxLThkZWUtZTRmZGZmOTVkMDNlXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR8,0,140,209_AL_.jpg"
A Christmas Prince: The Royal Baby,TV-PG,84,5.4,,"Family, Romance",2019,"It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their family.",John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, ","7,745",,"https://m.media-amazon.com/images/M/MV5BY2I2YTZiZWQtNDNmMS00MDY1LTlkNzUtZmI3MDAyMjcwYjZmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Christmas at the Plaza,TV-G,84,6.5,,"Drama, Romance",2019,An archival historian is hired to create a Christmas display at the Plaza Hotel and is paired with a handsome Christmas decorator to bring it to life.,Ron Oliver,"Elizabeth Henstridge, Ryan Paevey, Bruce Davison, Julia Duffy, ","3,364",,"https://m.media-amazon.com/images/M/MV5BMzY5OTViYWUtNDI1Yy00MWE0LTg3N2MtYjhiOTNkOGEwOTMzXkEyXkFqcGdeQXVyNDY2NDU1MzA@._V1_UX140_CR0,0,140,209_AL_.jpg"
Northpole: Open for Christmas,TV-G,83,6.1,,"Drama, Family, Fantasy",2015,"When Mackenzie inherits her aunt's once-majestic inn, she decides to sell it. But fixing up the rundown place is more challenging than she had anticipated. Then the magic of Christmas intervenes, with unexpected help from Santa's elves.",Douglas Barr,"Lori Loughlin, Bailee Madison, Dermot Mulroney, Paul Stewart, ","2,038",,"https://m.media-amazon.com/images/M/MV5BYWE2Y2Y2NDEtZjBkZS00NWZlLWI4ZWUtYWJhNmE4ODFjNzJmXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Royal Christmas Crush,TV-G,120,5.5,,Romance,2023,"Ava accepts the opportunity of a lifetime to work at the Royal Ice Hotel which leads her to a surprise whirlwind romance with the most important guest of all, the Royal Prince himself.",Marita Grabiak,"Katie Cassidy, Stephen Huszar, Kathryn Kohut, Angela Besharah, ",701,,"https://m.media-amazon.com/images/M/MV5BMjZkM2QzMzItOWIyZi00NzkwLWJjNzUtM2YzOTUxOTU0N2Y0XkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
Twas the Night Before Christmas,TV-G,84,6.7,,"Comedy, Drama, Family",2022,"Follow a former actress as she needs to take charge of a town's annual Christmas Eve courtroom production debating the true authorship of the poem ""A Visit from St. Nick"".",Gary Yates,"Torrey DeVitto, Zane Holtz, Amanda Barker, Tanisha Thammavongsa, ",821,,"https://m.media-amazon.com/images/M/MV5BMGMwZTcxZTItYWFkYS00ZjFiLTkxZjUtZWFiYzNkZGYyNDk0XkEyXkFqcGdeQXVyMTU4MzQzNDkx._V1_UX140_CR0,0,140,209_AL_.jpg"
